Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
32 500.00 1307.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
33 500.00 1304.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
34 500.00 1301.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
33 500.00 1304.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
34 500.00 1301.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
35 500.00 1298.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
34 500.00 1301.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
36 500.00 1295.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
35 500.00 1298.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
35 500.00 1298.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
37 500.00 1292.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
36 500.00 1295.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
36 500.00 1295.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
38 500.00 1289.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
37 500.00 1292.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
37 500.00 1292.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
39 500.00 1286.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
38 500.00 1289.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
38 500.00 1289.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
40 500.00 1283.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
39 500.00 1286.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
39 500.00 1286.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
41 500.00 1280.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
40 500.00 1283.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
40 500.00 1283.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
42 500.00 1277.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
41 500.00 1280.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
41 500.00 1280.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
43 500.00 1274.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
42 500.00 1277.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
42 500.00 1277.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
44 500.00 1271.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
43 500.00 1274.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
43 500.00 1274.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
45 500.00 1268.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
44 500.00 1271.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
44 500.00 1271.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
46 500.00 1265.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
45 500.00 1268.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
45 500.00 1268.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
47 500.00 1262.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
46 500.00 1265.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
46 500.00 1265.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
48 500.00 1259.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
47 500.00 1262.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
47 500.00 1262.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
49 500.00 1256.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
48 500.00 1259.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
48 500.00 1259.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
50 500.00 1259.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
49 500.00 1256.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
